Jumlah Komplain,tanggal,Respon Komplain,jumlah CS
7,2014-09-02,7,10
1,2014-09-03,1,10
76,2014-09-04,67,9
84,2014-09-05,73,12
32,2014-09-06,32,11
56,2014-09-07,50,8
53,2014-09-08,43,11
40,2014-09-09,40,13
43,2014-09-10,39,10
43,2014-09-11,38,11
33,2014-09-12,31,10
2,2014-09-13,2,10
4,2014-09-14,4,9
67,2014-09-15,56,10
43,2014-09-16,41,7
21,2014-09-17,20,10
34,2014-09-18,32,12
67,2014-09-19,56,10
43,2014-09-20,41,11
23,2014-09-21,23,13
24,2014-09-22,24,14
57,2014-09-23,48,9
34,2014-09-24,34,8
32,2014-09-25,31,12
45,2014-09-26,45,12
32,2014-09-27,32,9
44,2014-09-28,40,10
32,2014-09-29,28,13
45,2014-09-30,40,15
67,2014-10-01,59,7
8,2014-10-02,8,10
86,2014-10-03,75,10
54,2014-10-04,50,9
3,2014-10-05,3,12
1,2014-10-06,1,11
64,2014-10-07,54,8
34,2014-10-08,31,11
3,2014-10-09,3,13
23,2014-10-10,22,10
3,2014-10-11,3,11
45,2014-10-12,41,10
67,2014-10-13,57,10
32,2014-10-14,30,9
34,2014-10-15,31,10
56,2014-10-16,49,7
43,2014-10-17,40,10
2,2014-10-18,2,12
32,2014-10-19,31,10
45,2014-10-20,40,11
32,2014-10-21,31,13
12,2014-10-22,12,14
34,2014-10-23,30,9
56,2014-10-24,49,8
21,2014-10-25,20,12
34,2014-10-26,30,12
21,2014-10-27,21,9
34,2014-10-28,33,10
2,2014-10-29,2,13
32,2014-10-30,31,15
56,2014-11-01,49,7
7,2014-11-02,7,10
2,2014-11-03,2,10
13,2014-11-04,10,9
44,2014-11-05,40,12
89,2014-11-06,56,11
9,2014-11-07,7,8
1,2014-11-08,1,11
43,2014-11-09,40,13
24,2014-11-10,23,10
57,2014-11-11,50,11
45,2014-11-12,43,10
78,2014-11-13,70,10
75,2014-11-14,69,9
32,2014-11-15,31,10
45,2014-11-16,40,7
64,2014-11-17,59,10
32,2014-11-18,31,12
44,2014-11-19,40,10
56,2014-11-20,49,11
23,2014-11-21,23,13
45,2014-11-22,41,14
34,2014-11-23,30,9
11,2014-11-24,10,8
23,2014-11-25,23,12
45,2014-11-26,40,12
43,2014-11-27,40,9
4,2014-11-28,4,10
2,2014-11-29,2,13
23,2014-11-30,20,15
18,2014-12-01,18,7
34,2014-12-02,30,10
89,2014-12-03,79,10
43,2014-12-04,41,9
43,2014-12-05,39,12
23,2014-12-06,21,11
21,2014-12-07,21,8
23,2014-12-08,21,11
45,2014-12-09,40,13
21,2014-12-10,21,10
34,2014-12-11,32,11
56,2014-12-12,49,10
21,2014-12-13,20,10
23,2014-12-14,23,9
45,2014-12-15,40,10
21,2014-12-16,21,7
34,2014-12-17,30,10
64,2014-12-18,60,12
32,2014-12-19,31,10
22,2014-12-20,20,11
12,2014-12-21,11,13
32,2014-12-22,30,14
14,2014-12-23,13,9
56,2014-12-24,50,8
32,2014-12-25,31,12
21,2014-12-26,20,12
23,2014-12-27,20,9
67,2014-12-28,59,10
1,2014-12-29,1,13
67,2014-12-30,60,15
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
